id,type,X,Y,Z,u,v,w,nw,pw,mass,rho,energy,fx,fy,fz,sxx,syy,szz,sxy,sxz,syz,exx,eyy,ezz,exy,exz,eyz,nx,ny,nz,bc,young,poisson,phi,cohesion,psi,h_mod
94,1,0.15,4.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-7848.97,-13082.6,-7851.75,11.1,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
95,1,0.15,4.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-6663.71,-11079.3,-6667.57,10.2146,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
96,1,0.15,4.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-5472.41,-9055.67,-5477.01,8.65473,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
97,1,0.15,4.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-4293.21,-7065.79,-4301.9,7.30739,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
98,1,0.15,4.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-3091.54,-5027.76,-3106.15,11.0343,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
99,1,0.15,4.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-1949.68,-3055.99,-1939.85,16.9948,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
100,1,0.15,4.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-1136.89,-1182.12,-768.108,-25.1894,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
101,1,0.25,0.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53891.8,-99686.9,-53834.5,13.6454,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
102,1,0.25,0.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-53316,-97728.6,-53262.4,5.24337,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
103,1,0.25,0.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52685.2,-95653.2,-52640.2,4.6658,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
104,1,0.25,0.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-52071.7,-93673.9,-52032.6,1.53854,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
105,1,0.25,0.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-51398.1,-91638.6,-51363.5,0.740575,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
106,1,0.25,0.55,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-50691.6,-89633.1,-50660.9,0.40443,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
107,1,0.25,0.65,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49928.2,-87612.6,-49900.6,0.458195,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
108,1,0.25,0.75,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-49114.7,-85600.2,-49090.1,0.33687,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
109,1,0.25,0.85,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-48246.7,-83584.3,-48224.9,0.309786,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
110,1,0.25,0.95,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-47328.9,-81570.6,-47309.9,0.228999,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
111,1,0.25,1.05,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-46364.1,-79556,-46347.8,0.185285,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
112,1,0.25,1.15,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-45357.9,-77541.9,-45344.3,0.144381,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
113,1,0.25,1.25,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-44315.5,-75527.4,-44304.5,0.114845,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
114,1,0.25,1.35,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-43242.6,-73513,-43234,0.0938781,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
115,1,0.25,1.45,0,0,0,0,0.3,0,20,2000,0,0,-9.81,0,-42144.4,-71498.3,-42137.9,0.0983619,0,0,0,0,0,0,0,0,0,0,0,0,26000000,0.3,23.1,0,23.1,0
